Problema,Tipo
hay 31 pajaros en un arbol y se van volando 78 ¿Cuantos pajaros quedan?,Resta
un perro tiene 36 animales y con una diferencia 36 animales ¿Cuantos tiene al final?,Resta
Celeste tiene 27 balones de rugby y Francisco tiene 57 balones de basquet ¿Cuantos balones hay en total?,Suma
paloma tiene 4 unidades y le dan 41 unidades ¿Cuantos tienen entre los dos?,Suma
Enrique tiene 28 carteras y le entregan 48 carteras ¿Cuantos tienen entre los dos?,Suma
Juan tiene 64 balones de voley y Lucas tiene 74 balones de basquet ¿Cuantos balones hay en total?,Suma
hay 44 pajaros en un arbol y se van volando 91 ¿Cuantos pajaros quedan?,Resta
pablito  tiene 81 balones y le extraen 14 balones ¿Cuantos le queda?,Resta
hay 72 pajaros en un arbol y se van volando 89 ¿Cuantos pajaros quedan?,Resta
hay 74 tortillas en una mesa y se comen 4 ¿Cuantos tortillas quedan?,Resta
Federico tiene 8 toronjas y Pedro tiene 34 peras ¿Cuantos frutas hay en total?,Suma
hay 46 tortillas en una mesa y se comen 85 ¿Cuantos tortillas quedan?,Resta
Federico tiene 96 sandias y Cesar tiene 72 toronjas ¿Cuantos frutas hay en total?,Suma
hay 57 pajaros en un arbol y se van volando 32 ¿Cuantos pajaros quedan?,Resta
un profesor tiene 80 mesas y excluye 14 mesas ¿Cuantos le queda?,Resta
un obrero tiene 94 balones y le quitan 75 balones ¿Cuantos tiene al final?,Resta
fontanero tiene 63 sillas y suma 85 sillas ¿Cuantos tienen entre los dos?,Suma
un obrero tiene 66 moviles y le extraen 65 moviles ¿Cuantos le queda?,Resta
Celeste tiene 55 melocotones y Pedro tiene 27 manzanas ¿Cuantos frutas hay en total?,Suma
hay 72 pajaros en un arbol y se van volando 52 ¿Cuantos pajaros quedan?,Resta
cirujano tiene 56 relojes y suma 79 relojes ¿Cuantos hay en total?,Suma
hay 57 tortillas en una mesa y se comen 100 ¿Cuantos tortillas quedan?,Resta
hay 69 pajaros en un arbol y se van volando 60 ¿Cuantos pajaros quedan?,Resta
Cesar tiene 54 toronjas y Lorena tiene 38 peras ¿Cuantos frutas hay en total?,Suma
Enrique tiene 53 pajaros y añade 16 pajaros ¿Cuantos hay en total?,Suma
un actor tiene 71 moviles y le extraen 70 moviles ¿Cuanto queda?,Resta
hay 56 pajaros en un arbol y se van volando 71 ¿Cuantos pajaros quedan?,Resta
un camarero tiene 39 moviles y incluye 87 moviles ¿Cuantos hay al final ?,Suma
un cirujano tiene 80 frutas y le quitan 27 frutas ¿Cuantos tiene al final?,Resta
un obrero tiene 86 canicas y con una diferencia 5 canicas ¿Cuanto queda?,Resta
hay 5 pajaros en un arbol y se van volando 65 ¿Cuantos pajaros quedan?,Resta
un policia tiene 17 mesas y añade 64 mesas ¿Cuantos tienen entre los dos?,Suma
un obrero tiene 26 balones y le entregan 46 balones ¿Cuantos tienen entre los dos?,Suma
Una azafata tiene 77 teles y con una diferencia 35 teles ¿Cuanto queda?,Resta
un mecanico tiene 34 moviles y le entregan 19 moviles ¿Cuantos hay en total?,Suma
un policia tiene 85 moviles y le entregan 16 moviles ¿Cuantos hay al final ?,Suma
Un carpitero tiene 72 balones y excluye 69 balones ¿Cuantos le queda?,Resta
pablito  tiene 72 teles y le extraen 33 teles ¿Cuantos le queda?,Resta
un perro tiene 84 canicas y suma 47 canicas ¿Cuantos hay en total?,Suma
cirujano tiene 38 moviles y suma 93 moviles ¿Cuantos tienen entre los dos?,Suma
hay 19 niños en clase y se van 66 ¿Cuantos niños quedan?,Resta
hay 45 tortillas en una mesa y se comen 84 ¿Cuantos tortillas quedan?,Resta
hay 40 pajaros en un arbol y se van volando 69 ¿Cuantos pajaros quedan?,Resta
un policia tiene 92 piedras y con una diferencia 76 piedras ¿Cuantos le queda?,Resta
profesor tiene 88 teles y con una diferencia 12 teles ¿Cuanto queda?,Resta
un albañil tiene 64 frutas y suma 55 frutas ¿Cuantos hay en total?,Suma
un actor tiene 81 mesas y resta 43 mesas ¿Cuantos tiene al final?,Resta
un albañil tiene 9 frutas y añade 60 frutas ¿Cuantos tienen entre los dos?,Suma
Roberto tiene 41 peras y Ana tiene 36 coco ¿Cuantos frutas hay en total?,Suma
hay 80 pajaros en un arbol y se van volando 25 ¿Cuantos pajaros quedan?,Resta
una actriz tiene 28 sillas y le dan 76 sillas ¿Cuantos hay al final ?,Suma
fontanero tiene 44 frutas y resta 14 frutas ¿Cuantos le queda?,Resta
Gustavo tiene 2 manzanas y Juan tiene 16 uvas ¿Cuantos frutas hay en total?,Suma
jose tiene 91 coches y suma 89 coches ¿Cuantos hay en total?,Suma
programador tiene 50 moviles y excluye 39 moviles ¿Cuantos tiene al final?,Resta
Celeste tiene 13 balones de futbol y Ana tiene 47 balones de basquet ¿Cuantos balones hay en total?,Suma
paloma tiene 64 canicas y excluye 10 canicas ¿Cuantos tiene al final?,Resta
hay 99 niños en clase y se van 6 ¿Cuantos niños quedan?,Resta
un obrero tiene 90 mesas y suma 56 mesas ¿Cuantos tienen entre los dos?,Suma
Roberto tiene 14 balones de basquet y Pedro tiene 36 balones de rugby ¿Cuantos balones hay en total?,Suma
Julio tiene 45 toronjas y Francisco tiene 34 papayas ¿Cuantos frutas hay en total?,Suma
hay 7 niños en clase y se van 12 ¿Cuantos niños quedan?,Resta
Celeste tiene 65 manzanas y Cesar tiene 3 sandias ¿Cuantos frutas hay en total?,Suma
Un carpitero tiene 31 canicas y le dan 81 canicas ¿Cuantos hay al final ?,Suma
medico tiene 94 piedras y con una diferencia 69 piedras ¿Cuantos le queda?,Resta
perro tiene 27 carteras y le dan 65 carteras ¿Cuantos tienen entre los dos?,Suma
hay 70 tortillas en una mesa y se comen 86 ¿Cuantos tortillas quedan?,Resta
Celeste tiene 76 uvas y Juan tiene 86 peras ¿Cuantos frutas hay en total?,Suma
piloto tiene 21 coches y incluye 57 coches ¿Cuantos tienen entre los dos?,Suma
Lorena tiene 37 melocotones y Federico tiene 67 sandias ¿Cuantos frutas hay en total?,Suma
Un carpitero tiene 63 moviles y suma 53 moviles ¿Cuantos hay en total?,Suma
Gustavo tiene 22 sandias y Juan tiene 31 sandias ¿Cuantos frutas hay en total?,Suma
Roberto tiene 72 balones de rugby y Federico tiene 97 balones de futbol ¿Cuantos balones hay en total?,Suma
hay 19 niños en clase y se van 72 ¿Cuantos niños quedan?,Resta
Un carpitero tiene 19 mesas y resta 16 mesas ¿Cuantos tiene al final?,Resta
Una azafata tiene 78 moviles y excluye 35 moviles ¿Cuanto queda?,Resta
piloto tiene 26 balones y le entregan 98 balones ¿Cuantos tienen entre los dos?,Suma
un policia tiene 30 frutas y le entregan 91 frutas ¿Cuantos hay al final ?,Suma
un albañil tiene 100 moviles y le dan 37 moviles ¿Cuantos hay al final ?,Suma
jose tiene 43 animales y suma 63 animales ¿Cuantos tienen entre los dos?,Suma
Cesar tiene 61 platano y Julio tiene 28 melocotones ¿Cuantos frutas hay en total?,Suma
Francisco tiene 88 sandias y Juan tiene 62 ciruela ¿Cuantos frutas hay en total?,Suma
hay 71 pajaros en un arbol y se van volando 85 ¿Cuantos pajaros quedan?,Resta
fontanero tiene 89 balones y resta 23 balones ¿Cuanto queda?,Resta
un cirujano tiene 91 canicas y le dan 34 canicas ¿Cuantos tienen entre los dos?,Suma
fontanero tiene 53 moviles y resta 33 moviles ¿Cuantos tiene al final?,Resta
hay 92 niños en clase y se van 73 ¿Cuantos niños quedan?,Resta
un obrero tiene 18 moviles y le dan 31 moviles ¿Cuantos hay al final ?,Suma
Federico tiene 22 balones de futbol y Celeste tiene 46 balones de basquet ¿Cuantos balones hay en total?,Suma
hay 41 pajaros en un arbol y se van volando 8 ¿Cuantos pajaros quedan?,Resta
hay 84 pajaros en un arbol y se van volando 74 ¿Cuantos pajaros quedan?,Resta
Roberto tiene 67 balones de tenis y Gustavo tiene 64 balones de basquet ¿Cuantos balones hay en total?,Suma
hay 43 pajaros en un arbol y se van volando 2 ¿Cuantos pajaros quedan?,Resta
medico tiene 81 mesas y añade 78 mesas ¿Cuantos tienen entre los dos?,Suma
pablito  tiene 51 unidades y excluye 9 unidades ¿Cuantos le queda?,Resta
Pedro tiene 63 sandias y Roberto tiene 50 uvas ¿Cuantos frutas hay en total?,Suma
un profesor tiene 19 pajaros y le entregan 60 pajaros ¿Cuantos tienen entre los dos?,Suma
una actriz tiene 89 carteras y con una diferencia 33 carteras ¿Cuanto queda?,Resta
un mecanico tiene 75 teles y con una diferencia 74 teles ¿Cuantos le queda?,Resta
hay 37 tortillas en una mesa y se comen 30 ¿Cuantos tortillas quedan?,Resta
un obrero tiene 38 mesas y le entregan 69 mesas ¿Cuantos hay en total?,Suma
Lucas tiene 17 balones de tenis y Cesar tiene 76 balones de futbol ¿Cuantos balones hay en total?,Suma
un bombero tiene 87 animales y suma 46 animales ¿Cuantos hay en total?,Suma
hay 51 niños en clase y se van 94 ¿Cuantos niños quedan?,Resta
un actor tiene 95 piedras y excluye 10 piedras ¿Cuantos tiene al final?,Resta
Gustavo tiene 40 balones de rugby y Federico tiene 87 balones de futbol ¿Cuantos balones hay en total?,Suma
un obrero tiene 83 mesas y excluye 45 mesas ¿Cuantos le queda?,Resta
profesor tiene 46 carteras y resta 16 carteras ¿Cuantos le queda?,Resta
hay 10 pajaros en un arbol y se van volando 3 ¿Cuantos pajaros quedan?,Resta
hay 51 tortillas en una mesa y se comen 43 ¿Cuantos tortillas quedan?,Resta
un bombero tiene 20 piedras y le entregan 60 piedras ¿Cuantos hay al final ?,Suma
hay 70 tortillas en una mesa y se comen 73 ¿Cuantos tortillas quedan?,Resta
Ana tiene 44 platano y Gustavo tiene 75 sandias ¿Cuantos frutas hay en total?,Suma
Roberto tiene 7 balones de tenis y Federico tiene 45 balones de basquet ¿Cuantos balones hay en total?,Suma
un policia tiene 46 carteras y incluye 65 carteras ¿Cuantos tienen entre los dos?,Suma
Roberto tiene 73 uvas y Juan tiene 45 sandias ¿Cuantos frutas hay en total?,Suma
un bombero tiene 53 teles y con una diferencia 25 teles ¿Cuanto queda?,Resta
hay 57 niños en clase y se van 75 ¿Cuantos niños quedan?,Resta
Pablo tiene 65 peras y Lucas tiene 16 toronjas ¿Cuantos frutas hay en total?,Suma
Pedro tiene 28 uvas y Lucas tiene 48 toronjas ¿Cuantos frutas hay en total?,Suma
hay 69 pajaros en un arbol y se van volando 84 ¿Cuantos pajaros quedan?,Resta
un profesor tiene 95 animales y con una diferencia 22 animales ¿Cuantos le queda?,Resta
un bombero tiene 80 pajaros y excluye 56 pajaros ¿Cuanto queda?,Resta
un actor tiene 51 carteras y le quitan 12 carteras ¿Cuantos le queda?,Resta
Una azafata tiene 85 canicas y le dan 40 canicas ¿Cuantos tienen entre los dos?,Suma
medico tiene 63 relojes y excluye 6 relojes ¿Cuantos tiene al final?,Resta
hay 2 pajaros en un arbol y se van volando 89 ¿Cuantos pajaros quedan?,Resta
paloma tiene 94 mesas y con una diferencia 35 mesas ¿Cuanto queda?,Resta
una actriz tiene 60 carteras y le dan 41 carteras ¿Cuantos hay al final ?,Suma
un mecanico tiene 63 canicas y incluye 45 canicas ¿Cuantos tienen entre los dos?,Suma
fontanero tiene 52 unidades y le extraen 11 unidades ¿Cuantos le queda?,Resta
hay 24 tortillas en una mesa y se comen 26 ¿Cuantos tortillas quedan?,Resta
hay 69 niños en clase y se van 83 ¿Cuantos niños quedan?,Resta
perro tiene 52 mesas y le extraen 34 mesas ¿Cuantos le queda?,Resta
programador tiene 78 coches y le quitan 67 coches ¿Cuanto queda?,Resta
un actor tiene 64 canicas y añade 30 canicas ¿Cuantos hay en total?,Suma
una actriz tiene 32 coches y añade 97 coches ¿Cuantos tienen entre los dos?,Suma
un albañil tiene 95 unidades y con una diferencia 27 unidades ¿Cuantos le queda?,Resta
Ana tiene 92 balones de futbol y Francisco tiene 29 balones de tenis ¿Cuantos balones hay en total?,Suma
un obrero tiene 72 frutas y le entregan 40 frutas ¿Cuantos hay en total?,Suma
cirujano tiene 89 piedras y con una diferencia 61 piedras ¿Cuantos le queda?,Resta
hay 28 tortillas en una mesa y se comen 75 ¿Cuantos tortillas quedan?,Resta
un bombero tiene 68 animales y le quitan 19 animales ¿Cuantos le queda?,Resta
hay 20 niños en clase y se van 71 ¿Cuantos niños quedan?,Resta
hay 47 niños en clase y se van 84 ¿Cuantos niños quedan?,Resta
una actriz tiene 89 animales y le quitan 38 animales ¿Cuanto queda?,Resta
un albañil tiene 100 teles y resta 2 teles ¿Cuantos le queda?,Resta
fontanero tiene 38 piedras y suma 28 piedras ¿Cuantos hay al final ?,Suma
Ana tiene 43 balones de basquet y Julio tiene 50 balones de voley ¿Cuantos balones hay en total?,Suma
hay 93 tortillas en una mesa y se comen 62 ¿Cuantos tortillas quedan?,Resta
cirujano tiene 78 pajaros y le extraen 51 pajaros ¿Cuanto queda?,Resta
medico tiene 15 balones y con una diferencia 4 balones ¿Cuantos tiene al final?,Resta
Juan tiene 21 balones de rugby y Francisco tiene 39 balones de rugby ¿Cuantos balones hay en total?,Suma
un bombero tiene 8 mesas y incluye 59 mesas ¿Cuantos hay al final ?,Suma
Lorena tiene 80 balones de tenis y Pedro tiene 42 balones de rugby ¿Cuantos balones hay en total?,Suma
un mecanico tiene 33 coches y con una diferencia 19 coches ¿Cuanto queda?,Resta
Juan tiene 52 balones de tenis y Ana tiene 64 balones de tenis ¿Cuantos balones hay en total?,Suma
hay 80 tortillas en una mesa y se comen 88 ¿Cuantos tortillas quedan?,Resta
pablito  tiene 66 relojes y excluye 6 relojes ¿Cuantos le queda?,Resta
un camarero tiene 63 frutas y le quitan 48 frutas ¿Cuantos le queda?,Resta
medico tiene 56 piedras y incluye 93 piedras ¿Cuantos tienen entre los dos?,Suma
Pablo tiene 6 melocotones y Ana tiene 83 manzanas ¿Cuantos frutas hay en total?,Suma
un policia tiene 86 carteras y añade 21 carteras ¿Cuantos hay en total?,Suma
un camarero tiene 42 canicas y añade 87 canicas ¿Cuantos hay al final ?,Suma
hay 85 tortillas en una mesa y se comen 84 ¿Cuantos tortillas quedan?,Resta
hay 51 pajaros en un arbol y se van volando 75 ¿Cuantos pajaros quedan?,Resta
hay 40 tortillas en una mesa y se comen 55 ¿Cuantos tortillas quedan?,Resta
un obrero tiene 50 balones y le extraen 49 balones ¿Cuanto queda?,Resta
Enrique tiene 56 animales y le extraen 22 animales ¿Cuantos le queda?,Resta
hay 21 niños en clase y se van 93 ¿Cuantos niños quedan?,Resta
Gustavo tiene 92 balones de tenis y Juan tiene 56 balones de rugby ¿Cuantos balones hay en total?,Suma
programador tiene 47 mesas y le dan 70 mesas ¿Cuantos hay en total?,Suma
medico tiene 46 mesas y le quitan 42 mesas ¿Cuanto queda?,Resta
hay 54 tortillas en una mesa y se comen 44 ¿Cuantos tortillas quedan?,Resta
hay 83 niños en clase y se van 57 ¿Cuantos niños quedan?,Resta
hay 50 pajaros en un arbol y se van volando 65 ¿Cuantos pajaros quedan?,Resta
una actriz tiene 21 mesas y le extraen 2 mesas ¿Cuantos le queda?,Resta
Pedro tiene 78 balones de basquet y Lucas tiene 40 balones de voley ¿Cuantos balones hay en total?,Suma
Julio tiene 95 balones de futbol y Roberto tiene 90 balones de futbol ¿Cuantos balones hay en total?,Suma
Lorena tiene 99 ciruela y Ana tiene 77 ciruela ¿Cuantos frutas hay en total?,Suma
hay 92 tortillas en una mesa y se comen 87 ¿Cuantos tortillas quedan?,Resta
un camarero tiene 99 lapices y le quitan 77 lapices ¿Cuanto queda?,Resta
un profesor tiene 48 piedras y incluye 30 piedras ¿Cuantos tienen entre los dos?,Suma
un obrero tiene 86 carteras y resta 78 carteras ¿Cuantos le queda?,Resta
un profesor tiene 97 balones y le quitan 86 balones ¿Cuantos le queda?,Resta
un albañil tiene 69 lapices y excluye 69 lapices ¿Cuantos le queda?,Resta
hay 81 pajaros en un arbol y se van volando 2 ¿Cuantos pajaros quedan?,Resta
Enrique tiene 37 carteras y le extraen 34 carteras ¿Cuanto queda?,Resta
profesor tiene 79 mesas y excluye 18 mesas ¿Cuantos le queda?,Resta
piloto tiene 41 relojes y añade 56 relojes ¿Cuantos tienen entre los dos?,Suma
jose tiene 11 lapices y resta 9 lapices ¿Cuantos tiene al final?,Resta
ingeniero tiene 30 unidades y añade 20 unidades ¿Cuantos tienen entre los dos?,Suma
hay 70 tortillas en una mesa y se comen 67 ¿Cuantos tortillas quedan?,Resta
Gustavo tiene 97 balones de futbol y Ana tiene 23 balones de voley ¿Cuantos balones hay en total?,Suma
pablito  tiene 89 lapices y le extraen 37 lapices ¿Cuantos le queda?,Resta
hay 73 pajaros en un arbol y se van volando 81 ¿Cuantos pajaros quedan?,Resta
jose tiene 27 relojes y excluye 7 relojes ¿Cuanto queda?,Resta
un albañil tiene 15 mesas y le dan 68 mesas ¿Cuantos hay en total?,Suma
pablito  tiene 5 frutas y añade 65 frutas ¿Cuantos hay al final ?,Suma
paloma tiene 85 carteras y incluye 96 carteras ¿Cuantos hay al final ?,Suma
un policia tiene 88 sillas y le extraen 15 sillas ¿Cuantos tiene al final?,Resta
cirujano tiene 75 relojes y excluye 7 relojes ¿Cuantos le queda?,Resta
un mecanico tiene 10 animales y le entregan 62 animales ¿Cuantos hay en total?,Suma
hay 10 tortillas en una mesa y se comen 83 ¿Cuantos tortillas quedan?,Resta
hay 99 tortillas en una mesa y se comen 45 ¿Cuantos tortillas quedan?,Resta
medico tiene 93 coches y le quitan 22 coches ¿Cuanto queda?,Resta
Cesar tiene 95 sandias y Federico tiene 4 sandias ¿Cuantos frutas hay en total?,Suma
hay 56 tortillas en una mesa y se comen 95 ¿Cuantos tortillas quedan?,Resta
hay 46 tortillas en una mesa y se comen 43 ¿Cuantos tortillas quedan?,Resta
Federico tiene 15 balones de basquet y Francisco tiene 40 balones de voley ¿Cuantos balones hay en total?,Suma
hay 77 niños en clase y se van 58 ¿Cuantos niños quedan?,Resta
un obrero tiene 87 canicas y incluye 88 canicas ¿Cuantos hay en total?,Suma
un obrero tiene 84 unidades y suma 45 unidades ¿Cuantos tienen entre los dos?,Suma
Pedro tiene 31 sandias y Roberto tiene 75 toronjas ¿Cuantos frutas hay en total?,Suma
hay 100 pajaros en un arbol y se van volando 58 ¿Cuantos pajaros quedan?,Resta
hay 18 tortillas en una mesa y se comen 53 ¿Cuantos tortillas quedan?,Resta
hay 53 pajaros en un arbol y se van volando 78 ¿Cuantos pajaros quedan?,Resta
hay 53 niños en clase y se van 53 ¿Cuantos niños quedan?,Resta
Pablo tiene 77 balones de rugby y Roberto tiene 33 balones de rugby ¿Cuantos balones hay en total?,Suma
jose tiene 48 canicas y le quitan 11 canicas ¿Cuantos tiene al final?,Resta
Pablo tiene 42 balones de voley y Juan tiene 32 balones de tenis ¿Cuantos balones hay en total?,Suma
Un carpitero tiene 44 animales y resta 35 animales ¿Cuantos le queda?,Resta
un camarero tiene 75 piedras y le entregan 64 piedras ¿Cuantos hay en total?,Suma
cirujano tiene 13 moviles y incluye 46 moviles ¿Cuantos hay en total?,Suma
fontanero tiene 98 canicas y resta 53 canicas ¿Cuanto queda?,Resta
hay 15 tortillas en una mesa y se comen 73 ¿Cuantos tortillas quedan?,Resta
piloto tiene 9 animales y suma 4 animales ¿Cuantos tienen entre los dos?,Suma
piloto tiene 36 animales y suma 66 animales ¿Cuantos tienen entre los dos?,Suma
Lorena tiene 65 uvas y Pablo tiene 41 toronjas ¿Cuantos frutas hay en total?,Suma
un cirujano tiene 87 relojes y le entregan 73 relojes ¿Cuantos hay al final ?,Suma
hay 7 tortillas en una mesa y se comen 18 ¿Cuantos tortillas quedan?,Resta
Julio tiene 97 uvas y Cesar tiene 41 papayas ¿Cuantos frutas hay en total?,Suma
un policia tiene 35 moviles y añade 12 moviles ¿Cuantos tienen entre los dos?,Suma
hay 51 tortillas en una mesa y se comen 48 ¿Cuantos tortillas quedan?,Resta
Julio tiene 5 balones de voley y Cesar tiene 11 balones de tenis ¿Cuantos balones hay en total?,Suma
fontanero tiene 92 pajaros y le quitan 62 pajaros ¿Cuanto queda?,Resta
perro tiene 82 moviles y excluye 10 moviles ¿Cuantos le queda?,Resta
un albañil tiene 12 teles y añade 39 teles ¿Cuantos tienen entre los dos?,Suma
hay 81 pajaros en un arbol y se van volando 78 ¿Cuantos pajaros quedan?,Resta
Julio tiene 78 papayas y Ana tiene 93 manzanas ¿Cuantos frutas hay en total?,Suma
Un carpitero tiene 14 teles y le entregan 3 teles ¿Cuantos hay al final ?,Suma
hay 93 tortillas en una mesa y se comen 75 ¿Cuantos tortillas quedan?,Resta
Celeste tiene 1 peras y Lorena tiene 56 coco ¿Cuantos frutas hay en total?,Suma
Un carpitero tiene 93 animales y añade 80 animales ¿Cuantos tienen entre los dos?,Suma
Un carpitero tiene 84 balones y le extraen 23 balones ¿Cuanto queda?,Resta
un albañil tiene 70 lapices y le extraen 46 lapices ¿Cuantos le queda?,Resta
hay 33 niños en clase y se van 37 ¿Cuantos niños quedan?,Resta
Enrique tiene 92 balones y incluye 94 balones ¿Cuantos hay al final ?,Suma
hay 47 tortillas en una mesa y se comen 57 ¿Cuantos tortillas quedan?,Resta
Ana tiene 24 platano y Pablo tiene 2 ciruela ¿Cuantos frutas hay en total?,Suma
paloma tiene 43 mesas y resta 25 mesas ¿Cuantos le queda?,Resta
hay 98 pajaros en un arbol y se van volando 46 ¿Cuantos pajaros quedan?,Resta
un albañil tiene 22 animales y incluye 69 animales ¿Cuantos hay al final ?,Suma
una actriz tiene 96 mesas y añade 97 mesas ¿Cuantos hay al final ?,Suma
un actor tiene 76 pajaros y excluye 13 pajaros ¿Cuanto queda?,Resta
un camarero tiene 86 coches y añade 34 coches ¿Cuantos hay en total?,Suma
Ana tiene 58 papayas y Gustavo tiene 36 papayas ¿Cuantos frutas hay en total?,Suma
un cirujano tiene 97 coches y le extraen 74 coches ¿Cuantos le queda?,Resta
Una azafata tiene 92 frutas y suma 1 frutas ¿Cuantos tienen entre los dos?,Suma
fontanero tiene 7 pajaros y añade 69 pajaros ¿Cuantos hay al final ?,Suma
programador tiene 59 mesas y resta 8 mesas ¿Cuantos le queda?,Resta
programador tiene 10 pajaros y le dan 82 pajaros ¿Cuantos hay al final ?,Suma
perro tiene 59 balones y incluye 60 balones ¿Cuantos hay en total?,Suma
hay 81 tortillas en una mesa y se comen 53 ¿Cuantos tortillas quedan?,Resta
hay 23 niños en clase y se van 67 ¿Cuantos niños quedan?,Resta
Juan tiene 2 coco y Lucas tiene 15 toronjas ¿Cuantos frutas hay en total?,Suma
un perro tiene 25 coches y añade 61 coches ¿Cuantos hay al final ?,Suma
hay 55 niños en clase y se van 9 ¿Cuantos niños quedan?,Resta
hay 84 niños en clase y se van 14 ¿Cuantos niños quedan?,Resta
hay 51 tortillas en una mesa y se comen 98 ¿Cuantos tortillas quedan?,Resta
profesor tiene 97 teles y le quitan 22 teles ¿Cuantos tiene al final?,Resta
Cesar tiene 22 balones de basquet y Julio tiene 52 balones de voley ¿Cuantos balones hay en total?,Suma
Ana tiene 17 balones de voley y Pablo tiene 69 balones de futbol ¿Cuantos balones hay en total?,Suma
Ana tiene 43 balones de tenis y Julio tiene 37 balones de tenis ¿Cuantos balones hay en total?,Suma
medico tiene 63 piedras y le dan 32 piedras ¿Cuantos hay en total?,Suma
un mecanico tiene 96 relojes y excluye 2 relojes ¿Cuantos tiene al final?,Resta
Gustavo tiene 44 balones de futbol y Pablo tiene 15 balones de rugby ¿Cuantos balones hay en total?,Suma
hay 56 tortillas en una mesa y se comen 90 ¿Cuantos tortillas quedan?,Resta
hay 15 niños en clase y se van 53 ¿Cuantos niños quedan?,Resta
un obrero tiene 77 mesas y suma 67 mesas ¿Cuantos hay en total?,Suma
Un carpitero tiene 32 unidades y incluye 56 unidades ¿Cuantos hay al final ?,Suma
un policia tiene 79 coches y le dan 88 coches ¿Cuantos hay en total?,Suma
un camarero tiene 30 carteras y le dan 30 carteras ¿Cuantos hay en total?,Suma
Julio tiene 38 toronjas y Francisco tiene 36 toronjas ¿Cuantos frutas hay en total?,Suma
Lucas tiene 84 balones de voley y Lorena tiene 57 balones de basquet ¿Cuantos balones hay en total?,Suma
un obrero tiene 14 balones y le dan 59 balones ¿Cuantos hay en total?,Suma
jose tiene 82 relojes y resta 30 relojes ¿Cuantos le queda?,Resta
Federico tiene 66 uvas y Celeste tiene 38 sandias ¿Cuantos frutas hay en total?,Suma
un camarero tiene 65 balones y le dan 2 balones ¿Cuantos hay en total?,Suma
perro tiene 89 piedras y le extraen 42 piedras ¿Cuanto queda?,Resta
profesor tiene 21 coches y le quitan 8 coches ¿Cuantos le queda?,Resta
un obrero tiene 62 pajaros y resta 25 pajaros ¿Cuantos le queda?,Resta
fontanero tiene 77 coches y incluye 42 coches ¿Cuantos hay en total?,Suma
un camarero tiene 97 frutas y resta 39 frutas ¿Cuantos le queda?,Resta
pablito  tiene 61 balones y le extraen 38 balones ¿Cuanto queda?,Resta
un actor tiene 25 moviles y añade 26 moviles ¿Cuantos hay en total?,Suma
medico tiene 24 carteras y le entregan 47 carteras ¿Cuantos hay al final ?,Suma
hay 71 niños en clase y se van 10 ¿Cuantos niños quedan?,Resta
hay 78 niños en clase y se van 3 ¿Cuantos niños quedan?,Resta
una actriz tiene 76 carteras y resta 73 carteras ¿Cuantos tiene al final?,Resta
paloma tiene 22 coches y suma 93 coches ¿Cuantos tienen entre los dos?,Suma
profesor tiene 60 unidades y con una diferencia 26 unidades ¿Cuantos tiene al final?,Resta
Julio tiene 40 coco y Ana tiene 82 melocotones ¿Cuantos frutas hay en total?,Suma
un cirujano tiene 61 sillas y le quitan 15 sillas ¿Cuanto queda?,Resta
hay 71 tortillas en una mesa y se comen 7 ¿Cuantos tortillas quedan?,Resta
Julio tiene 28 balones de voley y Pablo tiene 63 balones de futbol ¿Cuantos balones hay en total?,Suma
una actriz tiene 88 balones y resta 52 balones ¿Cuantos le queda?,Resta
un cirujano tiene 82 unidades y con una diferencia 1 unidades ¿Cuantos tiene al final?,Resta
Pedro tiene 56 balones de tenis y Lorena tiene 90 balones de voley ¿Cuantos balones hay en total?,Suma
paloma tiene 56 piedras y le entregan 25 piedras ¿Cuantos hay al final ?,Suma
profesor tiene 56 teles y incluye 88 teles ¿Cuantos hay en total?,Suma
hay 21 niños en clase y se van 13 ¿Cuantos niños quedan?,Resta
Pedro tiene 98 toronjas y Julio tiene 35 peras ¿Cuantos frutas hay en total?,Suma
Un carpitero tiene 63 teles y con una diferencia 57 teles ¿Cuantos tiene al final?,Resta
hay 39 pajaros en un arbol y se van volando 100 ¿Cuantos pajaros quedan?,Resta
Cesar tiene 8 balones de basquet y Gustavo tiene 99 balones de tenis ¿Cuantos balones hay en total?,Suma
un albañil tiene 22 frutas y excluye 21 frutas ¿Cuantos le queda?,Resta
un obrero tiene 79 canicas y con una diferencia 72 canicas ¿Cuantos tiene al final?,Resta
hay 95 pajaros en un arbol y se van volando 74 ¿Cuantos pajaros quedan?,Resta
pablito  tiene 75 carteras y excluye 19 carteras ¿Cuantos tiene al final?,Resta
pablito  tiene 93 teles y suma 17 teles ¿Cuantos hay al final ?,Suma
Una azafata tiene 49 teles y le entregan 66 teles ¿Cuantos hay al final ?,Suma
ingeniero tiene 60 relojes y le dan 74 relojes ¿Cuantos hay al final ?,Suma
hay 49 niños en clase y se van 27 ¿Cuantos niños quedan?,Resta
un camarero tiene 60 teles y le dan 86 teles ¿Cuantos hay al final ?,Suma
fontanero tiene 95 animales y le dan 24 animales ¿Cuantos hay en total?,Suma
pablito  tiene 68 animales y resta 9 animales ¿Cuantos tiene al final?,Resta
programador tiene 60 unidades y resta 59 unidades ¿Cuanto queda?,Resta
jose tiene 36 teles y incluye 86 teles ¿Cuantos tienen entre los dos?,Suma
