Problema,Respuesta
piloto tiene 75 relojes y le quitan 45 relojes ¿Cuantos le queda?,Le queda 30 relojes
hay 31 pajaros en un arbol y se van volando 80 ¿Cuantos pajaros quedan?,Quedan 49 pajaros
jose tiene 84 piedras y le entregan 77 piedras ¿Cuantos tienen entre los dos?,Entre los dos tienen 161 piedras
piloto tiene 100 teles y excluye 27 teles ¿Cuanto queda?,Queda 73 teles
Un carpitero tiene 98 frutas y le extraen 76 frutas ¿Cuantos le queda?,Le queda 22 frutas
fontanero tiene 100 mesas y incluye 47 mesas ¿Cuantos tienen entre los dos?,Entre los dos tienen 147 mesas
hay 1 niños en clase y se van 22 ¿Cuantos niños quedan?,Quedan 21 niños
hay 83 pajaros en un arbol y se van volando 66 ¿Cuantos pajaros quedan?,Quedan 17 pajaros
Enrique tiene 50 pajaros y incluye 97 pajaros ¿Cuantos hay al final ?,Al final hay 147 pajaros
piloto tiene 100 relojes y con una diferencia 7 relojes ¿Cuantos le queda?,Le queda 93 relojes
fontanero tiene 58 teles y resta 10 teles ¿Cuantos le queda?,Le queda 48 teles
pablito  tiene 44 carteras y suma 72 carteras ¿Cuantos hay en total?,En total hay 116 carteras
jose tiene 79 moviles y añade 12 moviles ¿Cuantos tienen entre los dos?,Entre los dos tienen 91 moviles
un bombero tiene 84 mesas y incluye 60 mesas ¿Cuantos hay al final ?,Al final hay 144 mesas
cirujano tiene 55 moviles y le entregan 31 moviles ¿Cuantos hay al final ?,Al final hay 86 moviles
un albañil tiene 1 moviles y añade 64 moviles ¿Cuantos hay en total?,En total hay 65 moviles
ingeniero tiene 74 unidades y le entregan 31 unidades ¿Cuantos hay al final ?,Al final hay 105 unidades
un cirujano tiene 24 mesas y le quitan 12 mesas ¿Cuantos le queda?,Le queda 12 mesas
hay 45 pajaros en un arbol y se van volando 85 ¿Cuantos pajaros quedan?,Quedan 40 pajaros
Lucas tiene 12 balones de tenis y Francisco tiene 44 balones de tenis ¿Cuantos balones hay en total?,En total hay 56 balones
Francisco tiene 59 ciruela y Ana tiene 36 melocotones ¿Cuantos frutas hay en total?,En total hay 95 frutas
Lorena tiene 80 balones de futbol y Roberto tiene 76 balones de tenis ¿Cuantos balones hay en total?,En total hay 156 balones
Lorena tiene 97 melocotones y Federico tiene 27 platano ¿Cuantos frutas hay en total?,En total hay 124 frutas
hay 43 pajaros en un arbol y se van volando 9 ¿Cuantos pajaros quedan?,Quedan 34 pajaros
un albañil tiene 90 lapices y incluye 2 lapices ¿Cuantos hay al final ?,Al final hay 92 lapices
pablito  tiene 74 piedras y excluye 57 piedras ¿Cuantos le queda?,Le queda 17 piedras
hay 58 pajaros en un arbol y se van volando 19 ¿Cuantos pajaros quedan?,Quedan 39 pajaros
ingeniero tiene 98 unidades y le quitan 25 unidades ¿Cuantos tiene al final?,Al final tiene 73 unidades
hay 57 tortillas en una mesa y se comen 84 ¿Cuantos tortillas quedan?,Quedan 27 tortillas
un policia tiene 43 lapices y le entregan 74 lapices ¿Cuantos hay en total?,En total hay 117 lapices
Lorena tiene 70 peras y Federico tiene 37 manzanas ¿Cuantos frutas hay en total?,En total hay 107 frutas
hay 93 tortillas en una mesa y se comen 74 ¿Cuantos tortillas quedan?,Quedan 19 tortillas
Roberto tiene 81 sandias y Federico tiene 100 manzanas ¿Cuantos frutas hay en total?,En total hay 181 frutas
Julio tiene 100 balones de tenis y Pedro tiene 28 balones de basquet ¿Cuantos balones hay en total?,En total hay 128 balones
hay 46 pajaros en un arbol y se van volando 78 ¿Cuantos pajaros quedan?,Quedan 32 pajaros
Ana tiene 57 papayas y Julio tiene 48 manzanas ¿Cuantos frutas hay en total?,En total hay 105 frutas
Enrique tiene 27 sillas y añade 37 sillas ¿Cuantos tienen entre los dos?,Entre los dos tienen 64 sillas
hay 68 niños en clase y se van 23 ¿Cuantos niños quedan?,Quedan 45 niños
Ana tiene 14 manzanas y Federico tiene 39 platano ¿Cuantos frutas hay en total?,En total hay 53 frutas
un actor tiene 55 lapices y añade 59 lapices ¿Cuantos hay en total?,En total hay 114 lapices
un policia tiene 26 pajaros y añade 23 pajaros ¿Cuantos hay en total?,En total hay 49 pajaros
Un carpitero tiene 98 balones y le entregan 66 balones ¿Cuantos hay en total?,En total hay 164 balones
un camarero tiene 20 carteras y resta 12 carteras ¿Cuantos tiene al final?,Al final tiene 8 carteras
Un carpitero tiene 19 sillas y con una diferencia 8 sillas ¿Cuantos tiene al final?,Al final tiene 11 sillas
Un carpitero tiene 94 unidades y con una diferencia 31 unidades ¿Cuanto queda?,Queda 63 unidades
Pablo tiene 74 balones de voley y Pedro tiene 61 balones de tenis ¿Cuantos balones hay en total?,En total hay 135 balones
hay 92 tortillas en una mesa y se comen 83 ¿Cuantos tortillas quedan?,Quedan 9 tortillas
un mecanico tiene 14 canicas y le dan 97 canicas ¿Cuantos hay al final ?,Al final hay 111 canicas
Federico tiene 57 coco y Juan tiene 83 sandias ¿Cuantos frutas hay en total?,En total hay 140 frutas
un cirujano tiene 37 piedras y le quitan 11 piedras ¿Cuantos tiene al final?,Al final tiene 26 piedras
un bombero tiene 60 frutas y resta 57 frutas ¿Cuantos tiene al final?,Al final tiene 3 frutas
profesor tiene 40 carteras y incluye 71 carteras ¿Cuantos tienen entre los dos?,Entre los dos tienen 111 carteras
Cesar tiene 5 sandias y Ana tiene 28 melocotones ¿Cuantos frutas hay en total?,En total hay 33 frutas
Francisco tiene 16 uvas y Lucas tiene 20 ciruela ¿Cuantos frutas hay en total?,En total hay 36 frutas
Julio tiene 83 toronjas y Francisco tiene 49 ciruela ¿Cuantos frutas hay en total?,En total hay 132 frutas
un actor tiene 5 frutas y suma 6 frutas ¿Cuantos hay en total?,En total hay 11 frutas
medico tiene 70 animales y incluye 65 animales ¿Cuantos tienen entre los dos?,Entre los dos tienen 135 animales
programador tiene 72 relojes y le extraen 63 relojes ¿Cuantos le queda?,Le queda 9 relojes
un obrero tiene 46 relojes y añade 14 relojes ¿Cuantos tienen entre los dos?,Entre los dos tienen 60 relojes
Francisco tiene 38 coco y Lorena tiene 82 sandias ¿Cuantos frutas hay en total?,En total hay 120 frutas
un camarero tiene 37 animales y le dan 21 animales ¿Cuantos hay en total?,En total hay 58 animales
Gustavo tiene 70 melocotones y Lorena tiene 80 papayas ¿Cuantos frutas hay en total?,En total hay 150 frutas
Francisco tiene 25 ciruela y Pablo tiene 84 toronjas ¿Cuantos frutas hay en total?,En total hay 109 frutas
Gustavo tiene 81 balones de rugby y Pablo tiene 5 balones de voley ¿Cuantos balones hay en total?,En total hay 86 balones
hay 66 niños en clase y se van 58 ¿Cuantos niños quedan?,Quedan 8 niños
un obrero tiene 98 teles y excluye 15 teles ¿Cuantos le queda?,Le queda 83 teles
hay 52 niños en clase y se van 24 ¿Cuantos niños quedan?,Quedan 28 niños
un albañil tiene 75 lapices y excluye 30 lapices ¿Cuantos le queda?,Le queda 45 lapices
Lucas tiene 38 sandias y Pedro tiene 87 toronjas ¿Cuantos frutas hay en total?,En total hay 125 frutas
piloto tiene 95 frutas y suma 88 frutas ¿Cuantos hay en total?,En total hay 183 frutas
Celeste tiene 82 ciruela y Lorena tiene 19 platano ¿Cuantos frutas hay en total?,En total hay 101 frutas
programador tiene 45 lapices y resta 17 lapices ¿Cuanto queda?,Queda 28 lapices
Roberto tiene 66 sandias y Gustavo tiene 84 platano ¿Cuantos frutas hay en total?,En total hay 150 frutas
un profesor tiene 47 coches y le entregan 15 coches ¿Cuantos tienen entre los dos?,Entre los dos tienen 62 coches
Pablo tiene 73 platano y Pedro tiene 85 manzanas ¿Cuantos frutas hay en total?,En total hay 158 frutas
un obrero tiene 77 relojes y incluye 47 relojes ¿Cuantos tienen entre los dos?,Entre los dos tienen 124 relojes
Enrique tiene 89 animales y le entregan 45 animales ¿Cuantos tienen entre los dos?,Entre los dos tienen 134 animales
Pedro tiene 34 manzanas y Lucas tiene 84 melocotones ¿Cuantos frutas hay en total?,En total hay 118 frutas
programador tiene 81 unidades y le dan 64 unidades ¿Cuantos tienen entre los dos?,Entre los dos tienen 145 unidades
hay 41 niños en clase y se van 90 ¿Cuantos niños quedan?,Quedan 49 niños
un obrero tiene 37 carteras y resta 24 carteras ¿Cuanto queda?,Queda 13 carteras
Julio tiene 1 papayas y Federico tiene 18 coco ¿Cuantos frutas hay en total?,En total hay 19 frutas
programador tiene 72 coches y con una diferencia 18 coches ¿Cuantos tiene al final?,Al final tiene 54 coches
hay 26 pajaros en un arbol y se van volando 32 ¿Cuantos pajaros quedan?,Quedan 6 pajaros
Julio tiene 69 sandias y Federico tiene 57 papayas ¿Cuantos frutas hay en total?,En total hay 126 frutas
Julio tiene 43 balones de tenis y Lucas tiene 45 balones de tenis ¿Cuantos balones hay en total?,En total hay 88 balones
hay 52 pajaros en un arbol y se van volando 22 ¿Cuantos pajaros quedan?,Quedan 30 pajaros
Juan tiene 9 balones de voley y Francisco tiene 48 balones de voley ¿Cuantos balones hay en total?,En total hay 57 balones
cirujano tiene 82 piedras y excluye 45 piedras ¿Cuantos le queda?,Le queda 37 piedras
hay 49 tortillas en una mesa y se comen 18 ¿Cuantos tortillas quedan?,Quedan 31 tortillas
Pedro tiene 23 balones de futbol y Juan tiene 14 balones de futbol ¿Cuantos balones hay en total?,En total hay 37 balones
hay 32 pajaros en un arbol y se van volando 65 ¿Cuantos pajaros quedan?,Quedan 33 pajaros
hay 87 tortillas en una mesa y se comen 13 ¿Cuantos tortillas quedan?,Quedan 74 tortillas
Un carpitero tiene 73 pajaros y suma 32 pajaros ¿Cuantos hay en total?,En total hay 105 pajaros
Una azafata tiene 65 mesas y le quitan 36 mesas ¿Cuantos le queda?,Le queda 29 mesas
un actor tiene 52 canicas y suma 53 canicas ¿Cuantos hay en total?,En total hay 105 canicas
Enrique tiene 15 lapices y le dan 98 lapices ¿Cuantos hay al final ?,Al final hay 113 lapices
hay 61 tortillas en una mesa y se comen 45 ¿Cuantos tortillas quedan?,Quedan 16 tortillas
un mecanico tiene 78 relojes y le quitan 16 relojes ¿Cuantos le queda?,Le queda 62 relojes
hay 46 niños en clase y se van 31 ¿Cuantos niños quedan?,Quedan 15 niños
un obrero tiene 64 relojes y con una diferencia 28 relojes ¿Cuantos le queda?,Le queda 36 relojes
hay 95 pajaros en un arbol y se van volando 54 ¿Cuantos pajaros quedan?,Quedan 41 pajaros
Juan tiene 50 balones de voley y Lucas tiene 16 balones de tenis ¿Cuantos balones hay en total?,En total hay 66 balones
hay 69 pajaros en un arbol y se van volando 77 ¿Cuantos pajaros quedan?,Quedan 8 pajaros
Lucas tiene 1 melocotones y Cesar tiene 12 sandias ¿Cuantos frutas hay en total?,En total hay 13 frutas
hay 67 niños en clase y se van 17 ¿Cuantos niños quedan?,Quedan 50 niños
Un carpitero tiene 69 moviles y añade 21 moviles ¿Cuantos tienen entre los dos?,Entre los dos tienen 90 moviles
hay 12 pajaros en un arbol y se van volando 90 ¿Cuantos pajaros quedan?,Quedan 78 pajaros
Una azafata tiene 100 piedras y con una diferencia 43 piedras ¿Cuantos tiene al final?,Al final tiene 57 piedras
paloma tiene 51 animales y le dan 35 animales ¿Cuantos hay en total?,En total hay 86 animales
hay 98 niños en clase y se van 77 ¿Cuantos niños quedan?,Quedan 21 niños
hay 50 tortillas en una mesa y se comen 35 ¿Cuantos tortillas quedan?,Quedan 15 tortillas
cirujano tiene 30 teles y incluye 66 teles ¿Cuantos hay al final ?,Al final hay 96 teles
un actor tiene 96 piedras y con una diferencia 37 piedras ¿Cuanto queda?,Queda 59 piedras
Julio tiene 69 balones de tenis y Celeste tiene 88 balones de futbol ¿Cuantos balones hay en total?,En total hay 157 balones
Celeste tiene 63 coco y Gustavo tiene 91 toronjas ¿Cuantos frutas hay en total?,En total hay 154 frutas
un profesor tiene 85 canicas y le extraen 6 canicas ¿Cuanto queda?,Queda 79 canicas
Un carpitero tiene 80 moviles y le extraen 20 moviles ¿Cuanto queda?,Queda 60 moviles
un perro tiene 97 moviles y añade 50 moviles ¿Cuantos hay al final ?,Al final hay 147 moviles
Enrique tiene 1 coches y le entregan 84 coches ¿Cuantos hay en total?,En total hay 85 coches
Pablo tiene 37 balones de rugby y Ana tiene 38 balones de tenis ¿Cuantos balones hay en total?,En total hay 75 balones
un perro tiene 84 canicas y le quitan 24 canicas ¿Cuanto queda?,Queda 60 canicas
un obrero tiene 66 pajaros y incluye 86 pajaros ¿Cuantos hay en total?,En total hay 152 pajaros
Juan tiene 17 balones de tenis y Celeste tiene 40 balones de voley ¿Cuantos balones hay en total?,En total hay 57 balones
programador tiene 72 carteras y le quitan 48 carteras ¿Cuanto queda?,Queda 24 carteras
hay 8 pajaros en un arbol y se van volando 9 ¿Cuantos pajaros quedan?,Quedan 1 pajaros
un obrero tiene 55 canicas y excluye 47 canicas ¿Cuanto queda?,Queda 8 canicas
hay 84 pajaros en un arbol y se van volando 30 ¿Cuantos pajaros quedan?,Quedan 54 pajaros
piloto tiene 65 moviles y le dan 14 moviles ¿Cuantos hay en total?,En total hay 79 moviles
hay 27 tortillas en una mesa y se comen 25 ¿Cuantos tortillas quedan?,Quedan 2 tortillas
Pablo tiene 19 peras y Roberto tiene 24 ciruela ¿Cuantos frutas hay en total?,En total hay 43 frutas
hay 12 pajaros en un arbol y se van volando 34 ¿Cuantos pajaros quedan?,Quedan 22 pajaros
ingeniero tiene 69 moviles y suma 31 moviles ¿Cuantos hay en total?,En total hay 100 moviles
hay 68 niños en clase y se van 34 ¿Cuantos niños quedan?,Quedan 34 niños
Roberto tiene 92 coco y Julio tiene 23 ciruela ¿Cuantos frutas hay en total?,En total hay 115 frutas
hay 27 pajaros en un arbol y se van volando 32 ¿Cuantos pajaros quedan?,Quedan 5 pajaros
hay 41 tortillas en una mesa y se comen 6 ¿Cuantos tortillas quedan?,Quedan 35 tortillas
Celeste tiene 98 balones de voley y Gustavo tiene 54 balones de tenis ¿Cuantos balones hay en total?,En total hay 152 balones
Enrique tiene 56 unidades y incluye 32 unidades ¿Cuantos hay en total?,En total hay 88 unidades
ingeniero tiene 82 frutas y resta 78 frutas ¿Cuanto queda?,Queda 4 frutas
perro tiene 17 canicas y excluye 3 canicas ¿Cuantos tiene al final?,Al final tiene 14 canicas
una actriz tiene 93 piedras y con una diferencia 67 piedras ¿Cuantos le queda?,Le queda 26 piedras
programador tiene 23 carteras y incluye 31 carteras ¿Cuantos hay al final ?,Al final hay 54 carteras
Lucas tiene 5 balones de rugby y Juan tiene 15 balones de tenis ¿Cuantos balones hay en total?,En total hay 20 balones
cirujano tiene 80 lapices y suma 34 lapices ¿Cuantos hay en total?,En total hay 114 lapices
un cirujano tiene 62 animales y le dan 7 animales ¿Cuantos hay al final ?,Al final hay 69 animales
cirujano tiene 9 lapices y le dan 2 lapices ¿Cuantos hay en total?,En total hay 11 lapices
un albañil tiene 58 moviles y con una diferencia 55 moviles ¿Cuanto queda?,Queda 3 moviles
hay 74 niños en clase y se van 43 ¿Cuantos niños quedan?,Quedan 31 niños
Roberto tiene 88 balones de basquet y Lucas tiene 36 balones de rugby ¿Cuantos balones hay en total?,En total hay 124 balones
hay 93 pajaros en un arbol y se van volando 44 ¿Cuantos pajaros quedan?,Quedan 49 pajaros
profesor tiene 43 canicas y añade 22 canicas ¿Cuantos hay en total?,En total hay 65 canicas
hay 26 tortillas en una mesa y se comen 100 ¿Cuantos tortillas quedan?,Quedan 74 tortillas
hay 4 niños en clase y se van 65 ¿Cuantos niños quedan?,Quedan 61 niños
piloto tiene 59 coches y le quitan 22 coches ¿Cuantos le queda?,Le queda 37 coches
Federico tiene 88 balones de basquet y Cesar tiene 26 balones de futbol ¿Cuantos balones hay en total?,En total hay 114 balones
cirujano tiene 34 balones y añade 83 balones ¿Cuantos tienen entre los dos?,Entre los dos tienen 117 balones
hay 92 pajaros en un arbol y se van volando 92 ¿Cuantos pajaros quedan?,Quedan 0 pajaros
un albañil tiene 100 sillas y añade 63 sillas ¿Cuantos hay al final ?,Al final hay 163 sillas
Roberto tiene 100 toronjas y Pablo tiene 20 uvas ¿Cuantos frutas hay en total?,En total hay 120 frutas
perro tiene 66 frutas y le extraen 62 frutas ¿Cuanto queda?,Queda 4 frutas
ingeniero tiene 65 coches y le dan 1 coches ¿Cuantos hay al final ?,Al final hay 66 coches
hay 93 tortillas en una mesa y se comen 58 ¿Cuantos tortillas quedan?,Quedan 35 tortillas
un profesor tiene 5 animales y le entregan 60 animales ¿Cuantos tienen entre los dos?,Entre los dos tienen 65 animales
un obrero tiene 37 piedras y suma 12 piedras ¿Cuantos tienen entre los dos?,Entre los dos tienen 49 piedras
hay 100 pajaros en un arbol y se van volando 82 ¿Cuantos pajaros quedan?,Quedan 18 pajaros
un policia tiene 82 frutas y con una diferencia 46 frutas ¿Cuantos tiene al final?,Al final tiene 36 frutas
pablito  tiene 53 mesas y le extraen 26 mesas ¿Cuantos le queda?,Le queda 27 mesas
un camarero tiene 82 teles y resta 28 teles ¿Cuantos tiene al final?,Al final tiene 54 teles
un mecanico tiene 1 balones y le dan 1 balones ¿Cuantos hay al final ?,Al final hay 2 balones
hay 55 pajaros en un arbol y se van volando 75 ¿Cuantos pajaros quedan?,Quedan 20 pajaros
hay 56 tortillas en una mesa y se comen 73 ¿Cuantos tortillas quedan?,Quedan 17 tortillas
Julio tiene 12 uvas y Cesar tiene 53 peras ¿Cuantos frutas hay en total?,En total hay 65 frutas
un albañil tiene 41 teles y incluye 11 teles ¿Cuantos hay en total?,En total hay 52 teles
perro tiene 39 carteras y le entregan 65 carteras ¿Cuantos hay al final ?,Al final hay 104 carteras
Roberto tiene 92 balones de futbol y Lorena tiene 30 balones de tenis ¿Cuantos balones hay en total?,En total hay 122 balones
hay 7 tortillas en una mesa y se comen 55 ¿Cuantos tortillas quedan?,Quedan 48 tortillas
perro tiene 58 balones y excluye 30 balones ¿Cuantos le queda?,Le queda 28 balones
Pedro tiene 17 balones de futbol y Lucas tiene 83 balones de tenis ¿Cuantos balones hay en total?,En total hay 100 balones
Un carpitero tiene 21 mesas y suma 21 mesas ¿Cuantos hay en total?,En total hay 42 mesas
un profesor tiene 99 teles y le extraen 62 teles ¿Cuantos le queda?,Le queda 37 teles
un obrero tiene 73 mesas y suma 44 mesas ¿Cuantos hay al final ?,Al final hay 117 mesas
fontanero tiene 60 mesas y le dan 51 mesas ¿Cuantos tienen entre los dos?,Entre los dos tienen 111 mesas
paloma tiene 38 piedras y le quitan 8 piedras ¿Cuantos le queda?,Le queda 30 piedras
un camarero tiene 68 piedras y suma 9 piedras ¿Cuantos tienen entre los dos?,Entre los dos tienen 77 piedras
hay 43 pajaros en un arbol y se van volando 64 ¿Cuantos pajaros quedan?,Quedan 21 pajaros
Enrique tiene 74 canicas y suma 13 canicas ¿Cuantos hay en total?,En total hay 87 canicas
un policia tiene 74 coches y le quitan 31 coches ¿Cuanto queda?,Queda 43 coches
hay 81 niños en clase y se van 62 ¿Cuantos niños quedan?,Quedan 19 niños
hay 23 niños en clase y se van 62 ¿Cuantos niños quedan?,Quedan 39 niños
profesor tiene 4 carteras y suma 51 carteras ¿Cuantos hay al final ?,Al final hay 55 carteras
hay 82 pajaros en un arbol y se van volando 30 ¿Cuantos pajaros quedan?,Quedan 52 pajaros
Roberto tiene 56 balones de basquet y Lucas tiene 29 balones de voley ¿Cuantos balones hay en total?,En total hay 85 balones
un camarero tiene 29 carteras y le dan 92 carteras ¿Cuantos tienen entre los dos?,Entre los dos tienen 121 carteras
Pedro tiene 91 balones de rugby y Cesar tiene 73 balones de voley ¿Cuantos balones hay en total?,En total hay 164 balones
Un carpitero tiene 82 canicas y le entregan 57 canicas ¿Cuantos hay al final ?,Al final hay 139 canicas
Federico tiene 58 balones de voley y Lorena tiene 6 balones de futbol ¿Cuantos balones hay en total?,En total hay 64 balones
un perro tiene 47 canicas y añade 27 canicas ¿Cuantos hay en total?,En total hay 74 canicas
hay 40 pajaros en un arbol y se van volando 98 ¿Cuantos pajaros quedan?,Quedan 58 pajaros
un cirujano tiene 26 carteras y resta 19 carteras ¿Cuantos le queda?,Le queda 7 carteras
Celeste tiene 92 balones de basquet y Roberto tiene 12 balones de rugby ¿Cuantos balones hay en total?,En total hay 104 balones
hay 86 tortillas en una mesa y se comen 25 ¿Cuantos tortillas quedan?,Quedan 61 tortillas
Francisco tiene 24 balones de rugby y Pablo tiene 45 balones de basquet ¿Cuantos balones hay en total?,En total hay 69 balones
Julio tiene 20 uvas y Celeste tiene 100 uvas ¿Cuantos frutas hay en total?,En total hay 120 frutas
paloma tiene 58 carteras y le extraen 17 carteras ¿Cuantos tiene al final?,Al final tiene 41 carteras
Gustavo tiene 82 balones de futbol y Juan tiene 45 balones de tenis ¿Cuantos balones hay en total?,En total hay 127 balones
un actor tiene 90 sillas y suma 36 sillas ¿Cuantos tienen entre los dos?,Entre los dos tienen 126 sillas
un mecanico tiene 61 sillas y con una diferencia 25 sillas ¿Cuantos tiene al final?,Al final tiene 36 sillas
pablito  tiene 71 animales y le extraen 30 animales ¿Cuantos le queda?,Le queda 41 animales
hay 80 tortillas en una mesa y se comen 69 ¿Cuantos tortillas quedan?,Quedan 11 tortillas
Juan tiene 5 platano y Lorena tiene 17 melocotones ¿Cuantos frutas hay en total?,En total hay 22 frutas
Juan tiene 29 balones de rugby y Julio tiene 51 balones de tenis ¿Cuantos balones hay en total?,En total hay 80 balones
hay 41 pajaros en un arbol y se van volando 74 ¿Cuantos pajaros quedan?,Quedan 33 pajaros
Roberto tiene 59 peras y Ana tiene 85 peras ¿Cuantos frutas hay en total?,En total hay 144 frutas
un profesor tiene 83 pajaros y le quitan 21 pajaros ¿Cuantos tiene al final?,Al final tiene 62 pajaros
hay 45 tortillas en una mesa y se comen 56 ¿Cuantos tortillas quedan?,Quedan 11 tortillas
Cesar tiene 77 platano y Juan tiene 18 sandias ¿Cuantos frutas hay en total?,En total hay 95 frutas
hay 79 tortillas en una mesa y se comen 79 ¿Cuantos tortillas quedan?,Quedan 0 tortillas
un profesor tiene 9 animales y resta 2 animales ¿Cuantos tiene al final?,Al final tiene 7 animales
hay 13 tortillas en una mesa y se comen 58 ¿Cuantos tortillas quedan?,Quedan 45 tortillas
Una azafata tiene 100 teles y resta 10 teles ¿Cuanto queda?,Queda 90 teles
pablito  tiene 22 coches y le extraen 7 coches ¿Cuantos tiene al final?,Al final tiene 15 coches
Lorena tiene 66 balones de rugby y Pedro tiene 39 balones de basquet ¿Cuantos balones hay en total?,En total hay 105 balones
hay 2 pajaros en un arbol y se van volando 58 ¿Cuantos pajaros quedan?,Quedan 56 pajaros
un mecanico tiene 19 teles y añade 25 teles ¿Cuantos tienen entre los dos?,Entre los dos tienen 44 teles
un bombero tiene 47 sillas y excluye 30 sillas ¿Cuantos tiene al final?,Al final tiene 17 sillas
Cesar tiene 83 uvas y Federico tiene 54 platano ¿Cuantos frutas hay en total?,En total hay 137 frutas
medico tiene 55 teles y le dan 93 teles ¿Cuantos hay al final ?,Al final hay 148 teles
cirujano tiene 45 animales y le entregan 1 animales ¿Cuantos hay en total?,En total hay 46 animales
un mecanico tiene 72 teles y resta 55 teles ¿Cuantos le queda?,Le queda 17 teles
Pedro tiene 13 melocotones y Roberto tiene 19 papayas ¿Cuantos frutas hay en total?,En total hay 32 frutas
hay 32 tortillas en una mesa y se comen 56 ¿Cuantos tortillas quedan?,Quedan 24 tortillas
Celeste tiene 5 melocotones y Pablo tiene 95 coco ¿Cuantos frutas hay en total?,En total hay 100 frutas
Cesar tiene 68 balones de futbol y Lucas tiene 72 balones de futbol ¿Cuantos balones hay en total?,En total hay 140 balones
un cirujano tiene 81 balones y suma 90 balones ¿Cuantos hay en total?,En total hay 171 balones
Ana tiene 10 peras y Federico tiene 97 coco ¿Cuantos frutas hay en total?,En total hay 107 frutas
Ana tiene 14 balones de voley y Cesar tiene 83 balones de rugby ¿Cuantos balones hay en total?,En total hay 97 balones
medico tiene 50 piedras y incluye 8 piedras ¿Cuantos hay al final ?,Al final hay 58 piedras
Roberto tiene 20 balones de rugby y Pablo tiene 56 balones de basquet ¿Cuantos balones hay en total?,En total hay 76 balones
un mecanico tiene 44 canicas y le dan 31 canicas ¿Cuantos tienen entre los dos?,Entre los dos tienen 75 canicas
hay 71 tortillas en una mesa y se comen 64 ¿Cuantos tortillas quedan?,Quedan 7 tortillas
un obrero tiene 49 coches y incluye 76 coches ¿Cuantos hay en total?,En total hay 125 coches
Federico tiene 71 platano y Lorena tiene 94 coco ¿Cuantos frutas hay en total?,En total hay 165 frutas
hay 94 niños en clase y se van 82 ¿Cuantos niños quedan?,Quedan 12 niños
Cesar tiene 28 manzanas y Pedro tiene 73 toronjas ¿Cuantos frutas hay en total?,En total hay 101 frutas
Ana tiene 19 ciruela y Cesar tiene 14 papayas ¿Cuantos frutas hay en total?,En total hay 33 frutas
hay 66 niños en clase y se van 65 ¿Cuantos niños quedan?,Quedan 1 niños
Julio tiene 24 sandias y Pablo tiene 51 sandias ¿Cuantos frutas hay en total?,En total hay 75 frutas
hay 46 pajaros en un arbol y se van volando 57 ¿Cuantos pajaros quedan?,Quedan 11 pajaros
pablito  tiene 25 lapices y le entregan 57 lapices ¿Cuantos tienen entre los dos?,Entre los dos tienen 82 lapices
Francisco tiene 84 balones de voley y Pablo tiene 71 balones de rugby ¿Cuantos balones hay en total?,En total hay 155 balones
Cesar tiene 25 balones de futbol y Lucas tiene 15 balones de voley ¿Cuantos balones hay en total?,En total hay 40 balones
hay 26 pajaros en un arbol y se van volando 92 ¿Cuantos pajaros quedan?,Quedan 66 pajaros
ingeniero tiene 55 moviles y le quitan 19 moviles ¿Cuanto queda?,Queda 36 moviles
Cesar tiene 33 sandias y Gustavo tiene 93 peras ¿Cuantos frutas hay en total?,En total hay 126 frutas
hay 42 pajaros en un arbol y se van volando 59 ¿Cuantos pajaros quedan?,Quedan 17 pajaros
Juan tiene 79 balones de basquet y Cesar tiene 97 balones de rugby ¿Cuantos balones hay en total?,En total hay 176 balones
hay 30 tortillas en una mesa y se comen 57 ¿Cuantos tortillas quedan?,Quedan 27 tortillas
Cesar tiene 92 coco y Lorena tiene 93 papayas ¿Cuantos frutas hay en total?,En total hay 185 frutas
hay 85 niños en clase y se van 25 ¿Cuantos niños quedan?,Quedan 60 niños
hay 2 tortillas en una mesa y se comen 12 ¿Cuantos tortillas quedan?,Quedan 10 tortillas
hay 72 niños en clase y se van 37 ¿Cuantos niños quedan?,Quedan 35 niños
un obrero tiene 58 canicas y con una diferencia 36 canicas ¿Cuantos le queda?,Le queda 22 canicas
perro tiene 67 canicas y resta 51 canicas ¿Cuanto queda?,Queda 16 canicas
medico tiene 48 piedras y le dan 60 piedras ¿Cuantos hay al final ?,Al final hay 108 piedras
un policia tiene 56 animales y le entregan 9 animales ¿Cuantos hay al final ?,Al final hay 65 animales
un albañil tiene 86 frutas y incluye 21 frutas ¿Cuantos hay en total?,En total hay 107 frutas
programador tiene 47 frutas y le entregan 6 frutas ¿Cuantos tienen entre los dos?,Entre los dos tienen 53 frutas
paloma tiene 70 mesas y resta 5 mesas ¿Cuantos le queda?,Le queda 65 mesas
un perro tiene 80 coches y añade 85 coches ¿Cuantos hay en total?,En total hay 165 coches
fontanero tiene 54 balones y con una diferencia 31 balones ¿Cuantos tiene al final?,Al final tiene 23 balones
hay 36 tortillas en una mesa y se comen 86 ¿Cuantos tortillas quedan?,Quedan 50 tortillas
Roberto tiene 24 balones de basquet y Federico tiene 52 balones de futbol ¿Cuantos balones hay en total?,En total hay 76 balones
paloma tiene 75 pajaros y le extraen 29 pajaros ¿Cuanto queda?,Queda 46 pajaros
Pedro tiene 35 balones de basquet y Juan tiene 85 balones de voley ¿Cuantos balones hay en total?,En total hay 120 balones
